id,name,sex,criminal,married
w,Walter White,1,2,2
h,Hank Schrader,1,1,2
j,Jesse Pinkman,1,2,1
ma,Marie Schrader,2,1,2
mi,Mike Ehrmantraut,1,2,1
g,Gus Fring,1,2,1
